epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1645,1.09914,2.10781,1.11496,1,0.49521,0.9852,0.59177,1.08593,2.87586,1.06167,0.000651515,0.000651515,0.000651515
2,33.6334,1.05871,1.36536,1.07534,0.70204,0.435,0.62786,0.40849,1.17155,2.26442,1.17505,0.00129208,0.00129208,0.00129208
3,49.8352,1.03002,1.17529,1.09791,0.77713,0.915,0.91408,0.61805,1.14203,1.37231,1.30131,0.00190625,0.00190625,0.00190625
4,65.2368,1.03735,0.96583,1.10312,0.91054,0.835,0.8914,0.58235,1.27083,1.77846,1.36014,0.0018812,0.0018812,0.0018812
5,80.9925,1.0383,0.86556,1.10547,0.93827,0.98801,0.97359,0.63777,1.17849,1.01838,1.31552,0.0018416,0.0018416,0.0018416
6,96.6429,1.02283,0.7829,1.10329,0.97481,1,0.97648,0.71401,0.95017,0.67221,1.08995,0.001802,0.001802,0.001802
7,112.318,1.01056,0.70944,1.09633,0.99487,0.96921,0.98953,0.72149,0.95995,0.67367,1.13086,0.0017624,0.0017624,0.0017624
8,127.762,0.96063,0.64422,1.07938,0.99145,1,0.99366,0.71649,0.93831,0.5667,1.12015,0.0017228,0.0017228,0.0017228
9,141.79,0.97559,0.62068,1.08319,0.99033,1,0.99495,0.75028,0.94269,0.51216,1.1198,0.0016832,0.0016832,0.0016832
10,155.682,0.94291,0.59868,1.08239,0.98496,0.985,0.99475,0.72436,0.93773,0.54791,1.11211,0.0016436,0.0016436,0.0016436
11,169.673,0.95256,0.57784,1.08246,0.99501,0.99674,0.99495,0.73453,0.96496,0.53018,1.13974,0.001604,0.001604,0.001604
12,183.607,0.94936,0.55742,1.0685,0.99438,1,0.9943,0.744,0.9249,0.46741,1.10391,0.0015644,0.0015644,0.0015644
13,197.586,0.91944,0.54856,1.05907,0.98026,0.99333,0.99305,0.71912,1.0112,0.55734,1.13498,0.0015248,0.0015248,0.0015248
14,211.385,0.95581,0.55582,1.0611,0.99481,0.995,0.99445,0.76893,0.90384,0.44236,1.09107,0.0014852,0.0014852,0.0014852
15,225.364,0.92314,0.50824,1.04564,0.99235,1,0.995,0.7511,0.92301,0.44518,1.11084,0.0014456,0.0014456,0.0014456
16,239.364,0.90857,0.51515,1.04594,0.98831,0.995,0.99369,0.76586,0.89578,0.46977,1.09035,0.001406,0.001406,0.001406
17,253.254,0.91655,0.51471,1.05766,0.99127,1,0.99311,0.74616,0.94714,0.45676,1.12011,0.0013664,0.0013664,0.0013664
18,267.095,0.89922,0.48586,1.04566,0.99375,1,0.995,0.76564,0.89412,0.43432,1.07393,0.0013268,0.0013268,0.0013268
19,280.996,0.91107,0.49139,1.0438,0.99455,1,0.99495,0.73633,0.96994,0.43878,1.09526,0.0012872,0.0012872,0.0012872
20,294.966,0.91547,0.49552,1.05126,0.99827,1,0.995,0.73966,0.9627,0.41521,1.09956,0.0012476,0.0012476,0.0012476
21,308.874,0.88006,0.46703,1.04278,0.99502,0.99855,0.99465,0.76555,0.92338,0.4197,1.08943,0.001208,0.001208,0.001208
22,323.908,0.88447,0.4821,1.04214,0.99598,1,0.995,0.76037,0.90677,0.41148,1.09174,0.0011684,0.0011684,0.0011684
23,337.725,0.86781,0.45389,1.0336,0.99918,1,0.995,0.78287,0.8872,0.38689,1.07755,0.0011288,0.0011288,0.0011288
24,351.618,0.87768,0.45395,1.03056,0.98962,1,0.99291,0.77532,0.879,0.39189,1.06419,0.0010892,0.0010892,0.0010892
25,365.536,0.87132,0.44812,1.03963,0.98522,0.99976,0.99073,0.77787,0.90024,0.41261,1.0665,0.0010496,0.0010496,0.0010496
26,379.546,0.85379,0.44712,1.02958,0.99392,1,0.99386,0.78725,0.89812,0.39318,1.08361,0.00101,0.00101,0.00101
27,393.464,0.85198,0.44193,1.02713,0.99937,1,0.995,0.78849,0.87178,0.3778,1.06819,0.0009704,0.0009704,0.0009704
28,407.464,0.8437,0.43583,1.01882,0.99829,1,0.995,0.77668,0.88906,0.39174,1.0887,0.0009308,0.0009308,0.0009308
29,421.596,0.85217,0.42808,1.02086,0.99415,1,0.99296,0.74952,0.93758,0.38434,1.1071,0.0008912,0.0008912,0.0008912
30,435.714,0.84693,0.42181,1.01978,0.98974,1,0.99305,0.77037,0.91447,0.38866,1.09894,0.0008516,0.0008516,0.0008516
31,449.736,0.82266,0.4233,1.01663,0.9941,1,0.99386,0.78199,0.87662,0.36588,1.0665,0.000812,0.000812,0.000812
32,464.365,0.85191,0.42426,1.02693,0.98959,1,0.99256,0.76412,0.97014,0.38972,1.11801,0.0007724,0.0007724,0.0007724
33,479.055,0.84961,0.4186,1.01658,0.99447,1,0.9948,0.79545,0.87703,0.35642,1.06591,0.0007328,0.0007328,0.0007328
34,492.861,0.79405,0.39872,1.00995,0.98974,1,0.99485,0.78916,0.87731,0.37666,1.047,0.0006932,0.0006932,0.0006932
35,506.648,0.79936,0.40005,1.00296,0.99515,1,0.995,0.78133,0.90194,0.35589,1.07712,0.0006536,0.0006536,0.0006536
36,520.443,0.81527,0.40191,1.00968,0.99956,1,0.995,0.79861,0.86659,0.34411,1.05342,0.000614,0.000614,0.000614
37,534.25,0.79947,0.38678,1.0086,0.99185,1,0.99311,0.79186,0.8802,0.35413,1.06748,0.0005744,0.0005744,0.0005744
38,549.068,0.81926,0.39584,1.00169,0.9854,1,0.99475,0.78466,0.91226,0.37438,1.08578,0.0005348,0.0005348,0.0005348
39,562.97,0.78424,0.38369,1.00398,0.99764,1,0.995,0.78422,0.90917,0.36497,1.07012,0.0004952,0.0004952,0.0004952
40,576.957,0.80391,0.39124,1.01498,0.99437,1,0.995,0.78498,0.90718,0.34624,1.08256,0.0004556,0.0004556,0.0004556
41,590.291,0.77448,0.35474,1.01351,0.99932,1,0.995,0.78679,0.8861,0.35783,1.05988,0.000416,0.000416,0.000416
42,604.561,0.77237,0.34821,1.0126,0.9996,1,0.995,0.78213,0.87569,0.33708,1.06412,0.0003764,0.0003764,0.0003764
43,619.072,0.76256,0.33738,1.00781,0.99948,1,0.995,0.78924,0.85831,0.32399,1.05186,0.0003368,0.0003368,0.0003368
44,633.867,0.73579,0.32595,0.98794,0.99498,1,0.995,0.79607,0.88135,0.32488,1.07056,0.0002972,0.0002972,0.0002972
45,649.352,0.74478,0.32367,0.99679,0.99841,1,0.995,0.79767,0.87866,0.32865,1.06203,0.0002576,0.0002576,0.0002576
46,663.662,0.73709,0.32054,0.99223,0.99934,1,0.995,0.80631,0.86316,0.32234,1.05105,0.000218,0.000218,0.000218
47,676.867,0.72503,0.32424,0.99475,0.99959,1,0.995,0.7953,0.87779,0.32619,1.0615,0.0001784,0.0001784,0.0001784
48,690.969,0.71319,0.31866,0.99986,0.99935,1,0.995,0.80001,0.8799,0.31803,1.05813,0.0001388,0.0001388,0.0001388
49,706.211,0.71763,0.31558,0.98863,0.99944,1,0.995,0.79421,0.88518,0.31901,1.06375,9.92e-05,9.92e-05,9.92e-05
50,721.063,0.70135,0.3094,0.98649,0.99951,1,0.995,0.79182,0.88339,0.31482,1.06071,5.96e-05,5.96e-05,5.96e-05
